"","discover_reveal","move_special_move","battle","rescue","compete","strategy_tactics","shoot","destroy_devastate_wreck","defend","race","explore","mission","solve","challenge","action"
"932946",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"934592",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"935185",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"935186",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"935589",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"936561",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"936563",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"937813",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"937821",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"938961",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"939414",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"939457",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"939473",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"939662",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"941991",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"942012",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"942967",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"943298",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944564",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
