"","move_special_move","discover_reveal","kill","solve","strategy_tactics","combat","attack","battle","destroy_devastate_wreck","defend","compete","fight","explore","survive","rescue","adventure","mission","collect_gather","shoot"
"930036",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930085",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930144",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"931221",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932031",1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"932117",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"932520",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"932853",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"932984",0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"933007",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"933119",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"934380",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"934443",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"937715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"937748",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"938028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"938068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"938400",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"938508",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"938877",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"939405",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"939465",1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"940567",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"942280",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"942874",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
