"","collect_gather","discover_reveal","city","story","combat","mission","weapon","fight","army","defeat","shoot","realistic_accurate","fast","destroy_devastate_wreck","war","explore","battle","enemy","level_stage","team_group_crew_squad"
"933195",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942050",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"942686",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943658",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944262",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"944542",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"944916",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944948",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"944977",0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"946126",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"952621",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1
"954040",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
