"","discover_reveal","collect_gather","fight","solve","explore","adventure","rescue","defend","defeat","battle","mission","shoot","combat","compete","attack"
"609595",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"615426",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618245",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618770",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"631936",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"640253",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"944089",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"952594",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"954855",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"974869",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"988768",0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
"989945",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"996489",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
