"","rescue","attack","combat","battle","fight","adventure","explore","discover_reveal","destroy_devastate_wreck","mission","move_special_move","kill","defend","shoot","survive","defeat"
"605052",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"633261",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"645907",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"659949",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
"660785",0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"672473",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"672902",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"677382",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"682514",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"702770",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"703417",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"706838",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"710754",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"711454",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"714549",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"717907",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"719823",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"722615",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"722909",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"958900",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
