"","attack","puzzle","just_name","shoot","magic","city","level_stage","dangerous","licensed_content_video_games","rescue","realistic_accurate","action","weapon","tournament_competition","enemy","fast","arcade","mystery","music","the_earth","licensed_content_cultural_products"
"933016",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935579",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937320",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"938056",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938218",0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"939074",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"939134",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939278",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"939528",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"939538",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"941992",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941998",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"942729",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"943086",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"943280",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"943428",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"943856",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
