"","move_special_move","combat","discover_reveal","fight","compete","tournament_competition","strategy_tactics","attack","shoot","mission","kill","battle","defeat"
"605819",1,0,0,0,0,0,0,0,0,0,0,0,0
"960521",0,1,1,1,0,0,0,0,0,0,0,0,0
"973379",0,0,0,0,1,0,0,0,0,0,0,0,0
"981301",1,1,0,1,1,0,0,0,0,0,0,0,0
"985985",0,0,0,0,0,1,0,0,0,0,0,0,0
"986258",0,0,0,0,1,0,0,0,0,0,0,0,0
"988954",0,0,0,0,0,0,1,0,0,0,0,0,0
"988956",0,0,0,0,0,0,0,1,0,0,0,0,0
"990875",0,0,0,0,0,0,0,0,1,1,1,0,0
"991333",0,0,0,0,1,0,0,0,0,0,0,1,0
"991753",0,0,0,0,0,0,0,0,0,0,0,0,1
"995950",1,0,0,0,0,0,0,0,0,0,0,0,0
"997304",0,0,0,0,0,0,0,0,1,0,0,0,0
