"","battle","mission","combat","fight","strategy_tactics","collect_gather","defend","race","attack","compete","move_special_move","fast","destroy_devastate_wreck","adventure","rescue","solve","defeat","explore","shoot"
"943385",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943502",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944747",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945048",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"952612",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"952817",1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"953957",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"954130",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
"954380",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"955854",1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"956484",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"958390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"959020",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"959209",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"959341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"960525",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"961649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"961657",1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"971389",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"977137",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
