"","race","fast","compete","solve","defeat","combat","mission","destroy_devastate_wreck","collect_gather","rescue","battle","fight","attack"
"938148",1,1,0,0,0,0,0,0,0,0,0,0,0
"939160",1,0,1,0,0,0,0,0,0,0,0,0,0
"939509",1,0,0,1,0,0,0,0,0,0,0,0,0
"939534",1,0,1,0,1,0,0,0,0,0,0,0,0
"942008",1,0,0,0,0,0,0,0,0,0,0,0,0
"942026",1,0,0,0,0,0,0,0,0,0,0,0,0
"942063",0,0,0,0,1,0,0,0,0,0,0,0,0
"942072",1,1,0,0,0,0,0,0,0,0,0,0,0
"942716",1,0,0,0,0,1,0,0,0,0,0,0,0
"942736",1,1,1,0,0,0,0,0,0,0,0,0,0
"942792",1,0,1,0,0,0,0,0,0,0,0,0,0
"943020",1,0,0,0,0,0,0,0,0,0,0,0,0
"943354",1,0,0,0,0,0,0,0,0,0,0,0,0
"944359",1,0,0,1,0,0,1,0,0,0,0,0,0
"944519",1,1,0,0,0,0,0,0,0,0,0,0,0
"944937",1,0,0,0,0,0,0,0,0,0,0,0,0
"945297",0,0,0,0,0,0,0,1,0,0,0,0,0
"945382",1,1,1,0,0,0,0,0,0,0,0,0,0
"945385",1,1,0,0,0,0,0,0,1,0,0,0,0
"945406",1,0,1,0,0,0,0,0,0,0,0,0,0
"945662",1,1,0,0,0,0,0,0,0,1,0,0,0
"945664",1,0,0,0,0,0,0,0,0,0,0,0,0
"945865",1,0,1,0,0,0,0,0,1,0,0,0,0
"946588",1,0,0,0,0,0,0,0,0,0,0,0,0
"948965",1,0,0,0,1,0,0,0,0,0,1,1,0
"954984",1,0,0,0,0,0,0,0,0,0,0,0,0
"955192",0,1,0,0,0,0,0,1,0,0,0,0,1
