"","fight","attack","combat","defeat","defend","move_special_move","battle","mission","strategy_tactics","discover_reveal","destroy_devastate_wreck","adventure","solve","explore","collect_gather","rescue","shoot"
"928376",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928546",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"932882",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"933078",0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0
"936034",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"939097",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"939451",1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"939458",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"941882",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"941951",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941960",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"942059",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"942198",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"942420",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"942960",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"943273",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"943494",0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1
"943732",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"943951",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945943",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"946162",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"946208",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"946617",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950874",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"950878",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"951897",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
