"","story","mystery","the_earth","hero","licensed_content_video_games","attack","human_race_mankind","destroy_devastate_wreck","puzzle","enemy","war","army","magic","action","weapon","licensed_content_cultural_products","fast","epic","team_group_crew_squad"
"604158",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609388",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"619315",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"622500",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"626515",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"628661",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"632872",1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0
"639685",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"651555",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"960564",1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0
"988055",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"991144",1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"995452",0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"997903",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
