"","race","compete","destroy_devastate_wreck","combat","attack","battle","evil","fast","explore","adventure","collect_gather","fight","move_special_move","discover_reveal","shoot","defeat"
"928392",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928393",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"931589",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932731",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932810",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932887",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933035",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"934329",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937016",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"938450",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938636",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"938743",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938972",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939739",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941689",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941954",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"942032",1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"942038",1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"942347",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"943309",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"943413",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"944160",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
