"","explore","strategy_tactics","discover_reveal","battle","combat","destroy_devastate_wreck","defeat","defend","explode_blast","rescue","adventure","fight","attack","compete"
"927246",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928334",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"932035",1,0,0,1,1,1,1,0,0,0,0,0,0,0
"932979",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"935661",0,0,0,1,1,1,0,0,0,1,0,0,0,0
"938642",0,0,0,0,0,0,0,1,0,0,1,0,0,0
"939162",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"939444",0,0,0,1,0,0,0,0,0,1,0,1,0,0
"939932",0,0,0,0,1,0,0,0,0,0,0,1,0,0
"942210",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"943325",1,1,0,1,1,0,0,0,0,0,0,0,1,0
"944700",1,0,1,0,1,0,1,0,0,0,0,0,0,1
"945075",0,0,0,1,0,1,0,0,0,0,0,0,0,0
