"","combat","adventure","destroy_devastate_wreck","rescue","fight","battle","discover_reveal","survive","defend","collect_gather","explore","solve","explode_blast","kill","shoot"
"605601",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632900",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"649270",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"667703",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"672893",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"681534",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"683105",0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
"684836",0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
"704458",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"705969",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"707754",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
"710576",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"960699",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
