"","realistic_accurate","city","shoot","fast","licensed_content_video_games","mission","enemy","attack","hero","army","adventure","battle","mystery","the_earth","level_stage","horde_wave_mass","magic","licensed_content_cultural_products","team_group_crew_squad","rescue"
"932983",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941519",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943417",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944341",1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"944918",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"944922",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"946815",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"954980",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"956904",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
"957925",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"958113",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"958278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"958958",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"959082",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"961266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"961359",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
