"","attack","battle","fight","discover_reveal","mission","combat","destroy_devastate_wreck","shoot","explore","move_special_move","fast","defeat","compete"
"606553",1,1,1,0,0,0,0,0,0,0,0,0,0
"945591",0,1,1,1,0,0,0,0,0,0,0,0,0
"974106",0,0,1,0,1,1,1,0,0,0,0,0,0
"974852",0,0,0,0,0,1,0,0,0,0,0,0,0
"988308",0,0,0,0,1,0,1,1,0,0,0,0,0
"989931",0,1,0,1,0,1,0,0,1,0,0,0,0
"996046",0,0,0,0,1,0,0,0,0,0,0,0,0
"996050",0,0,1,0,0,1,0,1,0,1,1,1,0
"996586",0,0,1,0,0,0,0,0,0,0,0,0,0
"997629",0,0,0,0,0,0,0,0,0,0,0,0,1
"998058",0,1,1,0,0,0,0,0,0,0,0,0,0
"998609",0,0,0,0,1,1,0,0,0,0,0,0,0
"999548",0,0,0,0,0,0,0,0,0,0,0,1,0
