"","adventure","rescue","battle","action","explore","solve","survive","shoot","discover_reveal","kill","compete","collect_gather","destroy_devastate_wreck","explode_blast","defend","combat","move_special_move","strategy_tactics","race","defeat","fight"
"605959",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606350",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611171",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614182",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"623147",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"624642",0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"627045",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"630993",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
"632666",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"632843",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"640407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"640907",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"991127",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"991326",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"997845",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
