"","realistic_accurate","team_group_crew_squad","destroy_devastate_wreck","enemy","action","tournament_competition","dangerous","fast","licensed_content_video_games","race","weapon","licensed_content_cultural_products","level_stage"
"928392",1,1,1,0,0,0,0,0,0,0,0,0,0
"928393",0,0,1,1,0,0,0,0,0,0,0,0,0
"931589",0,0,0,0,1,0,0,0,0,0,0,0,0
"932101",0,0,0,0,1,1,1,0,0,0,0,0,0
"932731",1,0,0,0,0,0,0,1,0,0,0,0,0
"932810",1,0,1,0,0,0,0,1,0,0,0,0,0
"932887",1,0,0,0,0,1,0,0,0,0,0,0,0
"933035",0,1,0,0,0,0,0,0,1,0,0,0,0
"934329",0,0,1,0,0,0,0,0,0,0,0,0,0
"935830",0,0,0,0,0,0,0,0,0,1,0,0,0
"937016",0,0,0,1,0,0,0,0,0,0,1,0,0
"937632",0,0,0,0,0,0,0,0,1,0,0,0,0
"938450",1,0,0,0,0,1,0,0,0,0,0,0,0
"938502",1,1,0,0,0,1,0,0,0,0,0,0,0
"938636",1,0,0,0,0,1,0,0,0,0,0,0,0
"938743",0,0,0,0,0,1,0,0,0,0,0,0,0
"938972",0,0,0,0,0,0,0,1,0,1,0,1,0
"941689",0,0,0,1,0,0,0,1,1,0,0,0,0
"941954",1,0,0,0,0,1,0,1,0,1,0,0,0
"942032",0,0,0,0,0,1,0,0,0,0,0,0,1
"942038",0,0,0,1,0,0,0,0,0,0,0,0,0
"943309",0,0,0,0,1,0,0,0,0,0,0,1,0
"943413",0,0,0,0,1,1,0,0,0,0,0,0,0
"943627",0,0,0,1,1,0,0,0,0,0,1,0,0
"944160",0,0,0,0,0,0,0,0,0,0,1,0,1
