"","adventure","battle","kill","defeat","defend","shoot","fight","strategy_tactics","attack","discover_reveal","rescue","combat","explore","move_special_move"
"616012",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"620591",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"667143",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"674413",0,0,1,0,0,1,1,1,1,1,1,1,0,0
"678051",1,0,0,0,0,0,0,0,0,0,0,0,1,0
"680021",0,0,0,0,0,0,1,0,0,0,0,1,0,0
"681786",0,1,0,1,1,0,0,0,1,0,0,1,0,1
"684236",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"693067",1,1,0,0,0,0,1,1,0,0,0,1,0,0
"998014",0,1,0,0,0,0,1,0,0,0,0,0,0,0
