"","compete","move_special_move","strategy_tactics","race","shoot","destroy_devastate_wreck","fight","battle","defend","attack","defeat","fast"
"930760",1,0,0,0,0,0,0,0,0,0,0,0
"932214",0,1,1,0,0,0,0,0,0,0,0,0
"933059",1,0,0,1,0,0,0,0,0,0,0,0
"935184",0,0,0,0,1,1,0,0,0,0,0,0
"935371",0,0,0,0,0,0,1,0,0,0,0,0
"935581",0,0,0,0,0,0,0,1,0,0,0,0
"936391",0,0,0,0,0,0,0,0,1,0,0,0
"936447",0,0,1,0,0,0,0,0,0,0,0,0
"936582",0,1,0,0,0,0,1,0,0,0,0,0
"937279",0,0,0,0,0,0,0,0,1,1,0,0
"937756",0,0,0,0,0,0,0,0,0,0,1,0
"938344",0,0,1,0,0,0,0,0,0,0,0,0
"938798",1,0,0,0,0,0,0,0,0,0,0,0
"938801",0,0,1,0,0,0,1,0,0,0,0,0
"938830",0,1,0,0,0,0,0,0,0,0,0,0
"939307",0,1,0,0,0,0,0,0,0,0,0,0
"939471",1,0,1,0,1,0,0,0,0,0,0,0
"939512",0,1,0,0,0,0,0,0,0,0,0,0
"939542",1,0,0,0,0,0,0,0,0,0,0,0
"939619",1,0,1,0,0,0,0,0,1,1,1,1
"941593",1,0,0,0,0,0,0,0,0,0,0,0
"941633",0,1,1,0,0,0,0,0,1,1,0,0
"941823",1,0,0,0,0,0,0,0,0,0,0,0
"942052",0,0,0,1,0,0,0,0,0,0,0,0
"942640",1,0,0,0,0,0,0,0,0,0,0,0
"942739",0,0,0,0,1,0,0,0,0,0,0,0
