"","race","realistic_accurate","compete","battle","mystery","fast","defeat","enemy","tournament_competition","evil","dangerous","destroy_devastate_wreck","team_group_crew_squad","story","city","explore","action"
"604155",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604291",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604347",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"605586",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"605593",1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"605961",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611852",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"614995",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"620598",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"621031",1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0
"625403",1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"628146",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"628160",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"630985",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"638789",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"971360",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"990993",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"997559",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"998009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
