"","explore","collect_gather","move_special_move","attack","strategy_tactics","solve","battle","defeat","fight","rescue","mission","compete","adventure","destroy_devastate_wreck","shoot","fast","discover_reveal","race","defend"
"943340",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948798",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950930",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"953865",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"954265",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"954511",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"954939",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"955050",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"955083",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"955742",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957421",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958106",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"958376",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"959070",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"959718",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"960104",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"960250",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960452",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960536",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"961519",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"968930",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971402",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"971714",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"971738",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"975367",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"976336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"979377",1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"981933",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
