"","licensed_content_video_games","fight","city","mystery","evil","compete","licensed_content_cultural_products","puzzle","fast","enemy","action","realistic_accurate"
"605742",1,0,0,0,0,0,0,0,0,0,0,0
"959422",1,1,0,0,0,0,0,0,0,0,0,0
"960833",0,0,1,1,0,0,0,0,0,0,0,0
"974888",1,0,0,0,1,1,0,0,0,0,0,0
"989145",0,0,0,0,0,0,1,0,0,0,0,0
"990140",0,0,0,0,0,0,0,1,0,0,0,0
"991334",0,0,0,0,0,0,0,0,1,0,0,0
"995448",0,0,0,0,0,0,0,0,1,1,0,0
"995601",1,0,0,0,1,0,0,0,0,0,1,0
"995721",0,0,0,0,0,0,0,0,1,1,0,0
"996119",0,0,1,0,0,0,0,0,0,0,0,0
"997657",0,0,0,0,0,0,1,0,0,0,0,0
"997717",0,0,0,0,0,0,0,0,0,0,0,1
"997878",0,0,0,0,0,0,0,0,0,0,1,0
"997880",0,0,0,0,0,0,0,0,0,0,0,1
