"","realistic_accurate","dangerous","story","team_group_crew_squad","action","hero","tournament_competition","enemy","level_stage","fast","fight"
"606290",1,0,0,0,0,0,0,0,0,0,0
"615810",0,1,1,1,0,0,0,0,0,0,0
"632147",0,0,0,0,1,0,0,0,0,0,0
"632865",0,0,0,0,0,1,0,0,0,0,0
"639691",1,0,0,0,0,0,1,0,0,0,0
"640098",0,0,0,0,0,0,0,1,0,0,0
"645152",1,0,0,0,0,0,1,0,0,0,0
"647145",0,0,0,1,0,0,1,1,0,0,0
"649290",1,0,0,0,0,0,1,0,0,0,0
"650816",1,0,0,1,0,0,1,0,0,0,0
"652995",0,0,0,0,0,0,0,0,1,0,0
"656451",0,0,0,1,0,0,1,0,0,0,0
"656452",1,0,0,0,0,0,0,0,0,0,0
"661935",1,0,0,0,0,0,0,0,0,0,0
"663204",0,0,0,0,0,0,1,0,0,1,1
"664912",1,0,0,0,0,0,0,0,0,0,0
"668444",1,0,0,1,0,0,1,0,0,0,0
"672341",0,0,1,0,0,0,0,0,0,0,0
"672372",0,0,0,1,0,0,0,0,0,0,0
"679855",0,0,0,1,0,0,0,0,0,0,0
