"","fight","rescue","battle","combat","shoot","survive","defeat","solve","attack","collect_gather","compete","kill","mission","explode_blast"
"926055",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928189",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"928234",0,0,1,1,1,1,1,0,0,0,0,0,0,0
"928399",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"928433",0,1,0,0,0,0,0,1,0,0,0,0,0,0
"928655",0,0,1,1,0,0,0,0,1,0,0,0,0,0
"930825",0,0,0,0,0,0,0,0,0,1,1,0,0,0
"932518",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"933005",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"935829",1,0,1,0,0,0,0,0,0,0,0,1,1,1
