"","action","destroy_devastate_wreck","fast","enemy","realistic_accurate","epic","level_stage","tournament_competition","team_group_crew_squad","licensed_content_video_games","weapon","race"
"620887",1,1,0,0,0,0,0,0,0,0,0,0
"631651",1,0,0,0,0,0,0,0,0,0,0,0
"639950",1,0,0,0,0,0,0,0,0,0,0,0
"641560",0,1,1,0,0,0,0,0,0,0,0,0
"651288",0,0,0,1,0,0,0,0,0,0,0,0
"662534",0,0,0,0,1,0,0,0,0,0,0,0
"663509",1,0,0,0,0,1,1,0,0,0,0,0
"664236",0,0,0,0,0,0,0,1,1,0,0,0
"664645",0,0,0,1,0,0,0,0,0,1,0,0
"669064",0,0,0,1,0,0,0,0,0,1,1,0
"671114",0,0,0,0,1,0,0,1,0,0,0,0
"673024",0,0,1,1,0,0,0,0,0,0,0,0
"676832",0,0,0,0,0,0,0,1,1,0,0,0
"997924",1,0,0,1,0,0,0,0,0,0,1,1
