"","city","mystery","story","dangerous","hero","the_earth","enemy","human_race_mankind","magic","weapon","epic","licensed_content_video_games","war","horde_wave_mass","action","destroy_devastate_wreck","army","evil"
"616012",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"620591",0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"657979",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674413",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"678051",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"680021",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"681786",0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0
"684236",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"693067",0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
"718652",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"998014",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
