"","fight","compete","battle","collect_gather","survive","explode_blast","shoot","solve","destroy_devastate_wreck","discover_reveal","explore","strategy_tactics","rescue","defeat","mission","adventure"
"930069",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944469",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"954814",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"957669",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"957674",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"959413",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"959661",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
"960593",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"971686",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"974793",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
"979877",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
