"","fast","strategy_tactics","fight","combat","attack","defend","battle","action","compete","mission","race","war","discover_reveal","survive","rescue"
"928383",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"932514",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"933033",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"934752",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"935578",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"935985",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"936696",0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"938702",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"939562",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"939632",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"941965",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"941990",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
