"","puzzle","story","level_stage","mystery","adventure","city","enemy","magic","evil","army","dangerous","weapon","horde_wave_mass","team_group_crew_squad","epic"
"605744",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"606350",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"611171",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"614182",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"617354",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"622441",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"623147",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"624642",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"627045",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"630993",0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
"632666",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632843",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"640907",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"961521",0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"991127",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"991326",1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"997845",0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
