"","fight","compete","battle","strategy_tactics","collect_gather","mission","destroy_devastate_wreck","rescue","defeat","attack","fast","shoot","solve","move_special_move","discover_reveal","explore","defend","race","adventure"
"930069",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942613",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944469",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948787",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"950801",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"951732",0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"954473",0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"954814",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"954862",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955236",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955441",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"955479",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"957669",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"957674",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
"958334",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"959413",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"959661",0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"959697",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"959926",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960531",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"960593",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"971686",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"973240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"974362",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"974793",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"975512",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"979859",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"979877",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"980482",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"981298",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"981383",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
