"","explore","battle","adventure","strategy_tactics","fight","attack","destroy_devastate_wreck","defend","combat","mission","solve","defeat"
"624318",1,1,1,0,0,0,0,0,0,0,0,0
"631002",0,0,0,1,0,0,0,0,0,0,0,0
"638434",0,0,1,0,1,0,0,0,0,0,0,0
"648265",0,0,0,0,0,1,0,0,0,0,0,0
"653712",0,1,0,1,1,0,1,0,0,0,0,0
"655783",0,1,0,1,0,0,0,1,1,1,0,0
"666596",0,0,0,1,0,0,0,0,0,0,0,0
"671587",0,0,0,0,1,0,0,0,0,0,0,0
"671862",0,0,0,0,1,0,0,0,0,0,1,0
"672364",0,1,0,0,0,0,0,0,0,0,0,1
"684636",0,0,0,1,0,1,0,1,0,1,0,0
"970813",0,1,0,0,0,0,0,0,0,0,0,0
