"","realistic_accurate","licensed_content_video_games","attack","enemy","city","horde_wave_mass","weapon","mystery","puzzle","epic","story","team_group_crew_squad","magic","dangerous","licensed_content_cultural_products","hero","level_stage","action"
"926821",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"926934",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928235",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"928326",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"928519",0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"929232",1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"932470",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"932594",0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"932673",0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"932914",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1
"935895",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
