"","battle","destroy_devastate_wreck","attack","rescue","combat","fight","discover_reveal","collect_gather","defeat","adventure","defend","solve","explore"
"644717",1,1,0,0,0,0,0,0,0,0,0,0,0
"681989",0,0,1,1,0,0,0,0,0,0,0,0,0
"682468",0,0,0,0,1,1,0,0,0,0,0,0,0
"706032",1,0,0,0,1,1,0,0,0,0,0,0,0
"707565",1,0,0,0,0,0,1,0,0,0,0,0,0
"709407",0,0,0,0,1,0,0,0,0,0,0,0,0
"710243",1,0,0,0,0,1,0,0,0,0,0,0,0
"714747",0,0,0,0,0,0,0,1,1,1,0,0,0
"717507",1,0,1,0,0,1,0,1,0,0,0,0,0
"730866",0,0,0,0,0,0,0,0,1,0,0,0,0
"732890",0,0,0,1,0,0,0,0,0,0,1,1,0
"763235",0,0,1,0,0,0,0,0,0,0,0,0,0
"778830",0,0,0,0,0,0,0,0,0,0,0,1,0
"784751",0,0,0,0,1,0,0,0,0,0,0,0,1
