"","compete","collect_gather","defeat","rescue","discover_reveal","adventure","defend","race","move_special_move","battle"
"618628",1,0,0,0,0,0,0,0,0,0
"620507",0,1,0,0,0,0,0,0,0,0
"620508",0,0,1,1,0,0,0,0,0,0
"621202",0,0,0,0,1,0,0,0,0,0
"621458",0,1,0,0,0,0,0,0,0,0
"622365",0,0,0,0,0,1,0,0,0,0
"627042",0,0,0,0,0,0,1,0,0,0
"632840",0,0,0,0,0,0,0,1,0,0
"632885",0,0,0,0,0,0,0,0,1,0
"632890",0,0,0,0,0,0,0,0,1,0
"632907",0,1,0,0,0,0,0,0,0,0
"632973",0,1,0,0,0,0,0,1,0,0
"643861",1,0,0,0,0,0,0,0,0,0
"651253",1,0,0,0,0,0,0,0,0,0
"652668",0,1,0,0,0,0,0,0,0,0
"997916",0,1,0,0,0,0,0,0,0,1
