"","action","human_race_mankind","army","team_group_crew_squad","attack","licensed_content_video_games","story","dangerous","city","weapon","the_earth","enemy","rescue","puzzle","mystery","collect_gather","epic","licensed_content_cultural_products","destroy_devastate_wreck","level_stage","war","hero"
"605601",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614208",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615699",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632900",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"634491",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"649270",1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"652686",0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"667703",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"672893",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"683105",0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"684836",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"696965",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"704458",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"705969",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"707754",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"710576",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"960699",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
