"","solve","adventure","explore","city","mystery","discover_reveal","puzzle","race","compete","fast","battle","strategy_tactics","enemy","action","evil","licensed_content_video_games","destroy_devastate_wreck","combat","move_special_move","realistic_accurate","defeat"
"605248",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605742",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960833",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990140",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990142",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"990991",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"991334",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"991335",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"995448",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"995601",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"995721",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0
"996119",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"996879",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997630",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"997657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"997717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"997759",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997878",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"997880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"997883",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
