"","compete","realistic_accurate","licensed_content_video_games","enemy","defend","fast","city","licensed_tournament","friend","shoot","destroy_devastate_wreck","online","multiplayer","tournament_competition","move_special_move","attack","team_group_crew_squad","strategy_tactics","action","defeat"
"930760",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"932685",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934868",0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"935184",0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"935644",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"935845",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"936391",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"937279",0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"938344",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
"938464",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"938657",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939022",0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
"939619",1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"939852",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"941650",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
