"","tournament_competition","fast","licensed_content_video_games","team_group_crew_squad","realistic_accurate","enemy","move_special_move","dangerous","action","level_stage","strategy_tactics","city","story","human_race_mankind","compete","magic","destroy_devastate_wreck","adventure"
"617357",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939464",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944026",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958777",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960521",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"960629",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"971262",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"973379",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"977020",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"981301",1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"985985",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"986202",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"986258",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988954",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"988956",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"990635",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"991039",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"991045",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"991333",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"991339",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"991352",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"991753",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"995068",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"995950",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"996719",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"996875",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"997301",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997427",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"997571",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"997628",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997752",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"998050",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"998530",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"999086",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
