"","battle","challenge","compete","strategy_tactics","attack","defend","race","move_special_move","fast","shoot","explore","destroy_devastate_wreck","fight","combat"
"609390",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"616326",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"618273",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"627574",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"630498",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"632139",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"632833",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"632876",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"633248",0,0,0,0,0,0,0,1,1,0,0,0,0,0
"634475",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"637335",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"645626",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"933010",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"955428",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"996445",0,0,1,0,1,0,0,1,1,0,0,0,0,0
"997359",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"997443",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"997600",0,0,0,0,0,0,0,0,0,0,0,0,1,1
