"","compete","race","defeat","fast","kill","destroy_devastate_wreck","collect_gather","survive","battle","fight","strategy_tactics","move_special_move","discover_reveal","tournament_competition"
"620887",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"631651",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"632913",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"641560",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"651288",1,1,1,1,0,0,0,0,0,0,0,0,0,0
"660637",1,1,0,1,0,0,0,0,0,0,0,0,0,0
"662534",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"663509",0,1,0,0,1,1,1,1,1,0,0,0,0,0
"664645",0,1,0,0,0,0,0,0,1,1,0,0,0,0
"669064",1,1,0,0,0,0,0,0,1,0,1,1,1,0
"671114",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"672726",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"673024",0,0,0,1,1,0,0,0,0,0,0,0,0,0
"676832",1,1,0,1,0,0,0,0,0,0,0,0,0,0
"997924",0,0,0,0,0,0,1,0,0,0,0,0,0,0
