"","realistic_accurate","fast","team_group_crew_squad","licensed_tournament","tournament_competition","enemy","licensed_content_video_games","defend","level_stage","action","story"
"605252",1,1,0,0,0,0,0,0,0,0,0
"605747",1,0,0,0,0,0,0,0,0,0,0
"609390",1,1,1,0,0,0,0,0,0,0,0
"612081",0,0,1,1,1,0,0,0,0,0,0
"616326",1,0,0,1,1,0,0,0,0,0,0
"618273",0,0,0,1,1,0,0,0,0,0,0
"624639",1,0,1,1,1,0,0,0,0,0,0
"625123",1,0,1,1,1,1,0,0,0,0,0
"626255",0,0,1,1,0,0,0,0,0,0,0
"626302",0,0,0,1,0,0,0,0,0,0,0
"627288",0,0,1,1,1,0,0,0,0,0,0
"627462",0,0,1,1,0,0,0,0,0,0,0
"627574",0,0,0,1,0,0,1,0,0,0,0
"630380",0,0,1,0,1,0,0,0,0,0,0
"630498",1,0,0,0,0,0,0,0,0,0,0
"632402",1,0,0,0,0,0,0,0,0,0,0
"632493",1,0,0,0,0,0,0,0,0,0,0
"645626",1,0,0,0,0,0,0,1,0,0,0
"996445",1,0,0,0,0,0,0,0,0,0,0
"997359",0,0,0,0,1,1,0,1,1,0,0
"997443",0,0,0,0,0,0,0,0,0,1,0
"997600",1,1,0,0,0,0,0,0,0,0,1
"997753",0,0,0,0,0,0,1,0,0,0,0
