"","attack","fight","tournament_competition","realistic_accurate","enemy","battle","move_special_move","destroy_devastate_wreck","collect_gather","weapon","story","compete","team_group_crew_squad","strategy_tactics","defend","shoot"
"927448",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928289",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"930863",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"930953",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"932196",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"932465",0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0
"932715",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"932932",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"932993",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"933142",1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
"935290",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
