"","collect_gather","race","fast","explore","compete","fight","destroy_devastate_wreck","shoot","solve","adventure","rescue"
"932153",1,0,0,0,0,0,0,0,0,0,0
"944952",0,1,0,0,0,0,0,0,0,0,0
"948030",0,1,0,0,0,0,0,0,0,0,0
"950870",0,1,1,0,0,0,0,0,0,0,0
"952474",0,1,0,1,0,0,0,0,0,0,0
"954510",0,1,0,0,0,0,0,0,0,0,0
"955086",0,1,0,0,0,0,0,0,0,0,0
"955135",0,1,1,0,1,0,0,0,0,0,0
"955477",0,1,1,0,0,0,0,0,0,0,0
"955677",0,1,1,0,1,1,1,0,0,0,0
"955761",0,0,0,0,1,0,0,0,0,0,0
"957702",0,1,0,0,0,0,0,0,0,0,0
"958377",0,1,1,0,0,0,0,1,0,0,0
"958818",0,0,1,0,0,0,0,0,0,0,0
"958864",1,1,1,0,0,0,0,0,1,0,0
"959411",0,1,0,0,0,0,0,0,0,0,0
"960122",0,1,0,0,0,0,0,0,0,0,0
"960499",0,1,0,0,0,0,0,0,0,0,0
"961030",0,1,0,0,0,0,0,0,0,0,0
"961244",0,1,0,0,0,0,0,0,0,0,0
"961700",0,1,1,0,1,0,0,0,0,0,0
"968929",1,0,0,0,0,0,0,0,0,1,1
"970793",0,1,0,0,1,0,0,0,0,0,0
"972982",0,0,0,0,0,0,1,0,0,0,0
"978017",0,1,0,0,1,0,0,0,0,0,0
"981382",0,1,1,0,0,0,0,0,0,0,0
