"","move_special_move","solve","defend","attack","strategy_tactics","race","compete","fight","destroy_devastate_wreck","tournament_competition","shoot","fast","team_group_crew_squad","defeat","battle","mission","survive","explode_blast","collect_gather","rescue"
"933907",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939214",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"940560",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943048",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943743",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944281",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944510",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944714",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"944734",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944951",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"944960",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945071",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945118",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945632",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"946131",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"946237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"946299",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946384",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"946407",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"946532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"946583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"946790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"947077",0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"947988",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"948805",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"949620",0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"950962",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"952255",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"952615",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"953866",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"953920",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"955263",0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
