"","realistic_accurate","enemy","defend","team_group_crew_squad","fast","tournament_competition","city","licensed_content_video_games","move_special_move","strategy_tactics","licensed_content_cultural_products","action","weapon","mission"
"930760",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"932214",0,1,0,1,1,0,0,0,0,0,0,0,0,0
"933059",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"934868",1,0,0,0,1,0,1,0,0,0,0,0,0,0
"935184",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"935644",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"935845",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"936391",1,0,0,0,0,0,0,0,1,0,0,0,0,0
"936427",1,1,0,1,0,0,0,0,0,1,0,0,0,0
"936447",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"936582",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"937279",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"937756",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"938066",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"938113",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"938344",0,1,0,1,0,0,0,0,0,1,0,1,0,0
"938464",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"938657",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"938798",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"938801",1,1,0,0,0,1,0,1,0,0,0,1,1,0
"938830",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"939022",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"939471",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"939490",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"939542",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"939597",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"939619",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"939988",0,0,0,1,1,0,0,0,0,0,0,1,0,0
"941592",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"941593",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"941633",0,1,0,1,0,0,0,0,0,0,0,0,0,0
"941650",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"941762",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"941823",0,0,0,0,0,0,0,0,0,0,0,0,0,1
