"","destroy_devastate_wreck","action","tournament_competition","city","fast","realistic_accurate","team_group_crew_squad","enemy","licensed_content_video_games","magic","race","licensed_content_cultural_products","epic","hero","dangerous"
"933706",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938148",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"939160",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"939509",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"939534",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"942026",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"942063",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"942072",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"942716",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"942736",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"942792",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"943020",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"943354",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944359",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"944519",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944937",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"945297",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945382",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"945385",0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
"945406",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"945662",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"945664",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"945865",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"946588",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"948965",1,1,0,1,1,1,0,1,0,0,0,0,0,0,1
"955192",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
