"","adventure","move_special_move","explore","solve","kill","survive","mission","destroy_devastate_wreck","fight","combat","defeat","attack","battle","defend","explode_blast","discover_reveal"
"926821",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"926934",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"928326",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"928519",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"929232",0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
"932470",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"932594",1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0
"932673",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"932914",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"935895",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
