"","adventure","combat","battle","compete","defeat","level_stage","enemy","collect_gather","rescue","the_earth","evil","shoot","fight","move_special_move","story","mystery","solve","puzzle","magic"
"632697",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632974",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"640250",0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"640655",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"647271",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"647927",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"665234",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"671548",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"671549",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"672909",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"673026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"676740",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
