"","move_special_move","fight","fast","combat","race","compete","battle","collect_gather","defend","strategy_tactics","attack","shoot"
"606290",1,1,0,0,0,0,0,0,0,0,0,0
"615810",0,0,1,0,0,0,0,0,0,0,0,0
"632147",0,0,0,1,0,0,0,0,0,0,0,0
"632378",0,0,0,0,1,1,0,0,0,0,0,0
"632920",1,0,0,0,0,1,0,0,0,0,0,0
"640098",1,1,0,0,0,1,1,0,0,0,0,0
"645152",0,0,0,0,0,1,0,0,0,0,0,0
"647145",0,1,0,0,0,0,1,1,0,0,0,0
"656452",0,0,0,0,0,0,0,0,1,0,0,0
"661935",0,0,1,0,0,0,0,0,0,1,0,0
"663204",1,1,0,0,0,1,0,0,0,0,0,0
"664912",0,0,0,0,0,0,1,0,0,0,1,0
"668444",1,0,0,0,0,0,0,0,0,0,0,1
"672341",1,0,0,0,0,1,0,0,0,0,0,0
"672739",0,0,0,0,0,1,0,0,0,0,0,0
"672903",0,0,1,0,0,0,0,0,0,0,0,0
"679855",0,0,0,0,0,0,0,0,0,1,1,0
