"","move_special_move","compete","combat","discover_reveal","fight","tournament_competition","explore","rescue","strategy_tactics","attack","race","shoot","mission","kill","battle","collect_gather","defeat","fast","adventure"
"605819",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958777",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960521",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"973379",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"981301",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"985985",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"986202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"986258",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"987007",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988394",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"988758",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"988954",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"988956",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"990635",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"990875",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"991045",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991333",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"991352",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"991753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"994906",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"995478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"995950",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997304",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"997427",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"997571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"997628",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997708",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997720",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997752",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"998050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"999086",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
