"","solve","story","discover_reveal","realistic_accurate","mystery","puzzle","adventure","explore","attack","fight","mission","rescue","hero","army","enemy","shoot","collect_gather","level_stage","fast","tournament_competition","weapon","defeat"
"605047",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"940007",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952385",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954373",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"958810",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"974820",0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"977601",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"980069",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"980070",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"980071",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"991496",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"994624",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"997381",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
"997603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
