"","discover_reveal","fight","rescue","battle","adventure","mission","combat","collect_gather","attack","defend","solve","survive","explore","kill","action","defeat","strategy_tactics"
"603732",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"604987",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"605365",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928790",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"935684",0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"943655",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"944059",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"944907",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"945401",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"949770",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"958853",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"959034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"960101",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"960338",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"960449",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"971431",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"977060",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"991034",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
