"","solve","adventure","explore","discover_reveal","race","compete","fast","battle","strategy_tactics","destroy_devastate_wreck","combat","move_special_move","defeat"
"605248",1,0,0,0,0,0,0,0,0,0,0,0,0
"605742",0,1,0,0,0,0,0,0,0,0,0,0,0
"960833",0,0,1,1,0,0,0,0,0,0,0,0,0
"990142",0,0,0,0,1,1,0,0,0,0,0,0,0
"990991",0,0,0,0,0,1,0,0,0,0,0,0,0
"991334",0,0,0,0,0,0,1,0,0,0,0,0,0
"991335",0,0,0,0,0,1,0,1,0,0,0,0,0
"995448",0,0,0,0,0,0,1,0,1,0,0,0,0
"995601",0,0,0,0,0,1,0,0,0,0,0,0,0
"995721",0,0,0,0,0,0,0,1,0,1,1,0,0
"996879",1,0,0,1,0,0,0,0,0,0,0,0,0
"997630",0,1,0,0,0,0,0,0,0,0,0,0,0
"997651",0,0,0,0,0,0,0,0,0,0,0,1,0
"997657",0,0,0,0,0,0,0,0,0,0,0,1,0
"997759",0,1,0,0,0,0,0,0,0,0,0,0,0
"997880",0,0,0,0,0,0,0,0,0,1,1,0,1
"997883",1,0,0,0,0,0,0,0,0,1,0,0,0
