"","level_stage","destroy_devastate_wreck","story","kill","death","licensed_content_cultural_products","realistic_accurate","just_name","soldier","puzzle","horde_wave_mass","dangerous","evil","weapon","enemy","mystery","war","hero","friend","the_earth","collect_gather"
"935585",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935591",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938684",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939565",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942122",0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"942723",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"943006",0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0
"943117",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"945611",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"945612",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"946376",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"949115",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"949615",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"949618",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"950966",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952841",1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"954043",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"955027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
