"","solve","explore","rescue","defeat","collect_gather","fast","strategy_tactics","challenge","combat","battle","fight","race","compete","explode_blast","adventure","puzzle","discover_reveal","shoot","attack","survive","defend"
"604138",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605497",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"610762",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945656",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"959349",0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"959832",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"971669",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"971975",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"972801",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"974804",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"977135",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"978284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"978737",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"980488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"981421",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"984907",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"986263",0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"987422",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"988778",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"989573",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"990143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"991432",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"991517",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"995602",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"997197",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"997544",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"997545",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997634",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
