"","explore","discover_reveal","attack","strategy_tactics","destroy_devastate_wreck","collect_gather","adventure","defend","battle","combat","mission","fight","race","fast","rescue"
"928447",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930253",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"938603",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"943228",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"946789",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"946860",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"950918",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"951210",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"954342",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"954343",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"958279",1,1,0,1,0,0,0,1,1,0,0,1,0,1,1
"958463",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"960801",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
