"","adventure","defend","strategy_tactics","rescue","attack","move_special_move","fight","battle","mission","combat","destroy_devastate_wreck","compete","shoot","collect_gather"
"930013",1,1,0,0,0,0,0,0,0,0,0,0,0,0
"932515",0,0,1,1,1,1,0,0,0,0,0,0,0,0
"939208",0,0,0,0,1,0,1,1,1,1,0,0,0,0
"939445",0,1,0,0,0,0,0,1,0,1,0,0,0,0
"941684",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"941958",0,1,1,0,0,0,0,1,0,0,1,1,0,0
"942165",0,1,1,0,0,0,1,1,0,1,0,0,1,0
"942883",0,0,1,0,0,0,1,1,0,0,0,0,0,0
"943088",0,0,0,0,1,0,1,0,0,0,0,0,0,0
"943782",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"943966",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"944234",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"945393",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"946301",0,1,0,0,0,0,0,0,0,0,1,0,0,1
"946582",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"946839",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"950885",0,1,1,1,0,0,0,0,0,0,0,0,0,0
