"","realistic_accurate","destroy_devastate_wreck","city","race","tournament_competition","enemy","team_group_crew_squad","licensed_content_video_games","story","action","fast","level_stage","mystery","weapon","epic"
"941103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958272",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"959808",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"959867",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"959893",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"960422",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"960619",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"971450",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"979301",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"984916",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"984988",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"991782",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"997604",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"997709",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"997715",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
