"","realistic_accurate","defend","team_group_crew_squad","strategy_tactics","attack","compete","enemy","tournament_competition","fast","move_special_move","story","defeat","battle","shoot","action"
"930083",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"940560",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"943140",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944281",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"944734",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"945505",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"945510",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"945632",0,0,1,0,0,0,1,0,0,1,1,1,0,0,0
"946535",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"946760",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"947077",1,1,1,1,0,0,1,0,1,0,0,0,1,1,1
