"","fight","tournament_competition","magic","mystery","hero","enemy","puzzle","licensed_content_cultural_products","city","fast","realistic_accurate","level_stage","human_race_mankind","solve","team_group_crew_squad","action","horde_wave_mass","destroy_devastate_wreck"
"604515",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"618628",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620507",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620508",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"621202",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"621458",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"622365",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"632840",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"632907",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632928",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"632973",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"633271",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"643861",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"651253",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"652668",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"997916",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
