"","multiplayer","tournament_competition","realistic_accurate","compete","strategy_tactics","licensed_content_video_games","team_group_crew_squad","enemy","online","attack","defend","fast","move_special_move","fight"
"616326",1,1,1,1,0,0,0,0,0,0,0,0,0,0
"618273",0,1,0,0,1,1,0,0,0,0,0,0,0,0
"624639",0,1,1,0,0,1,1,0,0,0,0,0,0,0
"625123",0,1,1,0,0,1,1,1,1,0,0,0,0,0
"626302",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"627288",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"627462",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"630498",0,0,1,0,0,1,0,0,0,1,1,0,0,0
"632493",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"933010",1,0,0,0,0,0,0,0,0,0,0,1,0,0
"996445",0,0,1,1,0,1,0,0,0,1,0,1,1,1
