"","explode_blast","fight","attack","defend","survive","solve","combat","explore","rescue","defeat","adventure","mission","battle"
"928376",1,1,1,0,0,0,0,0,0,0,0,0,0
"936034",0,0,0,1,1,0,0,0,0,0,0,0,0
"939451",0,1,1,1,0,1,1,0,0,0,0,0,0
"939458",0,0,0,0,0,0,0,1,0,0,0,0,0
"941951",0,0,0,0,1,0,1,0,0,0,0,0,0
"942198",0,0,0,0,0,0,0,0,1,1,0,0,0
"942420",0,0,0,0,0,0,0,0,0,0,1,0,0
"943273",0,0,0,1,0,0,1,0,0,0,0,1,0
"943732",0,0,1,0,0,1,0,0,0,0,0,0,0
"943951",0,1,0,0,0,0,0,0,0,0,0,0,0
"945943",0,0,0,0,0,0,0,0,0,0,0,0,1
"950874",0,0,0,0,0,0,0,1,1,0,0,0,0
"951897",0,0,0,0,0,0,0,0,1,0,0,0,0
