"","enemy","licensed_content_video_games","level_stage","the_earth","evil","just_name","music","magic","story","mystery","challenge","licensed_content_cultural_products","puzzle"
"632974",1,1,1,0,0,0,0,0,0,0,0,0,0
"640250",1,0,0,1,1,0,0,0,0,0,0,0,0
"640655",0,0,0,0,0,1,0,0,0,0,0,0,0
"643306",0,0,0,0,0,0,1,0,0,0,0,0,0
"647271",0,0,0,0,0,0,0,1,0,0,0,0,0
"647927",0,0,0,0,0,0,1,0,0,0,0,0,0
"665234",0,0,0,0,0,0,0,0,1,1,0,0,0
"671548",0,0,0,0,1,1,0,0,0,0,1,0,0
"671549",0,0,0,0,1,0,0,0,0,0,1,0,0
"672908",0,0,0,0,0,0,0,0,0,0,0,1,0
"672909",0,0,0,1,0,0,0,0,0,0,0,1,1
"673026",0,0,0,0,0,0,0,1,1,0,0,1,0
"673033",0,0,0,0,0,0,1,0,0,0,0,0,0
"676740",0,0,1,0,0,0,0,0,0,0,0,0,0
